,0,1
0,17335447.789586384,603173.0041076392
1,6818634.5087438645,-72091.21343770437
2,9446241.540250847,444402.4429707676
3,13354831.38734609,776619.5856868904
4,13365801.153919166,813308.8308231719
5,13367915.3276767,809249.7516912725
6,24703370.70213811,1410375.391674351
7,10798051.44035782,699234.1060252674
8,11468116.328022929,331251.753537653
9,8000201.129764501,455919.0064733913
10,17990899.09963374,1310112.8397691995
11,7259815.282560367,377574.9293061737
12,13460473.786262797,1063282.3595248535
13,24866129.75123746,2211627.08188726
14,4651309.057383929,-116700.75662849471
15,12264527.12618023,959550.5760187339
16,13897057.285743544,116800.67108381726
17,13111932.4501489,660318.2938679587
18,22724137.70241796,1158862.62495723
19,11054936.706209136,923007.3810293339
20,320936000.8063752,400710337.7535735
21,14916312.125873089,1041022.1669047624
22,9967936.01107847,617822.5287642237
23,7930635.350972837,531713.3462085053
24,13451761.005613744,103424.15844533779
25,17450814.2110939,992764.855815988
26,5155459.705463959,2180634.1597406687
27,13048417.45626985,1290109.976569187
28,9632086.71289222,552443.1098727211
29,15912249.491101827,960713.1936136112
30,16742991.981410483,738568.574655354
31,31543594.92327463,1631694.8389287442
32,13537872.007865619,1028319.1413218565
33,10864165.001567345,778830.1305295918
34,12225001.145312874,642713.5686069913
35,13027872.243043873,582940.7330176085
36,13840227.324805267,747473.9303038772
37,8633664.102955801,114783.54705103673
38,10962098.471614305,699094.2088868376
39,17344934.876770135,1150998.3326945603
40,24497750.08931138,1286348.0989089198
41,8593623.625939962,602726.194504003
42,8587466.567802865,582496.4689510642
43,8596042.407659234,583114.849856277
44,13674693.067770628,499291.4053653758
45,25460190.846552145,1815219.840550281
46,15342235.93231056,105792.2766556684
47,5987845.347934224,-22490.22511290852
48,30049782.7366338,1863757.4025359862
49,30001632.144933894,1800547.8836001344
50,14606730.242052043,707725.0658026487
51,16272259.301417854,812647.9815200064
52,8784910.330554325,626567.0898802383
53,15650473.48146714,837137.6940992381
54,9763853.981942732,636282.2253456134
55,15686709.791921763,851310.6932779662
56,13858910.979787163,904451.4081826825
57,19680786.76372277,1120496.6264244616
58,24383592.40900982,1376524.4208874963
59,6989254.67080492,412064.741941154
60,11162174.73758535,689188.0960867293
61,17154121.848962802,926069.3369846605
62,9733338.358663587,357873.4638745375
63,10680129.77066216,249905.51612176
64,14504659.927176232,890159.7365064174
65,10989421.604577063,549797.5690069236
66,8903972.007739311,809820.7729634978
67,18261222.762935434,460398.84086496755
68,14137835.841209948,593348.5065292362
69,7453486.179392906,237160.8690273501
70,20709297.76268351,2037613.1386670396
71,9963984.786251962,622886.3929939326
72,13137771.46347178,1363509.3320875969
73,11004455.154752083,681011.1479679886
74,10889908.935907176,778484.3166721743
75,9425958.267416479,556631.5526037347
76,12821050.22653972,438543.8976290673
77,8033151.278930697,796268.2435322627
78,444251690.2506649,113816504.79060227
79,14948629.804941824,435690.6034039818
80,17019588.181482077,1027898.3715753704
81,20753279.20322644,1276701.4640465304
82,8696757.988302875,817102.9275536202
83,18052809.84239179,944527.073713053
84,14857027.091247406,569314.0062177945
85,29337128.335011333,941206.011342179
86,8377366.527202221,464208.0068059042
87,18023584.61786261,1355271.4094087183
88,9827122.743524477,603779.523194572
89,11163301.382468157,1161973.6888643932
90,9781260.488662822,-1973009.3789545111
91,25748839.85288423,1499067.9631782435
92,13429243.122523222,1205074.5552727096
93,13272161.30450639,672657.6193837095
94,22138162.14842434,1358580.0449021421
95,2314978.833212205,57199.34959103074
96,10207016.726548966,415463.90984825976
97,12447234.020274902,832899.7770610899
98,11786177.558917833,728707.6582285445
99,11824504.230399432,776580.7557008713
100,16381031.742675502,1143591.3668493778
101,16395557.001890596,1195145.1703889593
102,9488333.660133112,191852.26300798915
103,18206971.91392492,1331352.9928462692
104,2649475.645812099,221504.0289932983
105,20507184.71245571,356076.1265335679
106,7525974.752582836,372082.47197856195
107,9537684.73089663,194852.26860841922
108,10811175.078155132,42407.615730201825
109,9583078.453548478,834964.1720240079
110,10090245.450661592,706206.7837771978
111,21328609.786304597,1326631.8619706817
112,1.0120698612675796e+18,1.3282598040442355e+18
113,14778446.09713923,794793.4763767086
